"","Name","Cluster","Percent_Change","Symbol","Industry"
"181","HONGKONG LAND HOLDINGS LIMITED",3,-6.32183908045978,"H78.SI","Real Estate"
"182","HOTEL ROYAL LTD",3,-33.3333333333333,"H12.SI","Consumer Discretionary"
"183","HOTUNG INVESTMENT HLDGS LTD ",3,-20.1438848920863,"BLS.SI","Financials"
"184","HWA HONG CORPORATION LIMITED ",3,-0.799999999999995,"H19.SI","Real Estate"
"185","HYFLUX LTD ",3,-17.7083333333333,"600.SI","Utilities"
"186","IEV HOLDINGS LIMITED ",3,-3.6764705882353,"5TN.SI","Energy"
"187","INFINIO GROUP LIMITED ",3,-38.2352941176471,"5G4.SI","Materials"
"188","INFORMATICS EDUCATION LTD.",3,-8.69565217391305,"BOU.SI","Consumer Discretionary"
"189","JACKSPEED CORPORATION LIMITED ",3,-30.188679245283,"J17.SI","Consumer Discretionary"
"190","JARDINE MATHESON HLDGS LTD ",3,-4.45544554455446,"J36.SI","Industrials"
"191","JASON MARINE GROUP LIMITED",3,-2.5974025974026,"5PF.SI","Industrials"
"192","JASPER INVESTMENTS LIMITED ",3,-11.3636363636364,"FQ7.SI","Energy"
"193","JEP HOLDINGS LTD.",3,-9.25925925925927,"5FA.SI","Industrials"
"194","JIUTIAN CHEMICAL GROUP LIMITED",3,1.35135135135135,"C8R.SI","Materials"
"195","KENCANA AGRI LIMITED ",3,-25,"BNE.SI","Consumer Staples"
"196","KIMLY LIMITED",3,-5.12820512820513,"1D0.SI","Consumer Discretionary"
"197","KINGSMEN CREATIVES LTD",3,-11.1111111111111,"5MZ.SI","Industrials"
"198","KLW HOLDINGS LTD",3,30,"504.SI","Industrials"
"199","KODA LTD ",3,-19.1304347826087,"BJZ.SI","Consumer Discretionary"
"200","KOH BROTHERS GROUP LIMITED",3,-20.6349206349206,"K75.SI","Industrials"
"201","KOON HOLDINGS LIMITED ",3,-5.94059405940595,"5DL.SI","Industrials"
"202","LEY CHOON GROUP HLDG LIMITED",3,-2.46305418719211,"Q0X.SI","Industrials"
"203","LORENZO INTERNATIONAL LIMITED ",3,1.85185185185185,"5IE.SI","Consumer Discretionary"
"204","MAXI-CASH FIN SVCS CORP LTD ",3,-14.2857142857143,"5UF.SI","Financials"
"205","MEMORIES GROUP LIMITED ",3,0,"1H4.SI","Consumer Discretionary"
"206","MFG INTEGRATION TECHNOLOGY LTD",3,-5.90148407377583,"M11.SI","Information Technology"
"207","MICRO-MECHANICS HOLDINGS",3,-10.0863198546115,"5DD.SI","Information Technology"
"208","MUN SIONG ENGINEERING LIMITED ",3,-4,"MF6.SI","Industrials"
"209","MYP LTD. ",3,-0.584795321637427,"F86.SI","Real Estate"
"210","NEW TOYO INT HLDGS LTD ",3,3.57142857142855,"N08.SI","Materials"
"211","NOBLE GROUP LIMITED ",3,-8.47457627118643,"CGP.SI","Industrials"
"212","NOEL GIFTS INTERNATIONAL LTD",3,-17.1428571428571,"543.SI","Consumer Discretionary"
"213","NUTRYFARM INTERNATIONAL LTD",3,-45.7286432160804,"AZT.SI","Consumer Staples"
"214","OKP HOLDINGS LIMITED ",3,0.900900900900902,"5CF.SI","Industrials"
"215","PACC OFFSHORE SVCS HLDG LTD. ",3,-17.4418604651163,"U6C.SI","Energy"
"216","PAN ASIAN HOLDINGS LIMITED ",3,-26.530612244898,"5EW.SI","Industrials"
