Name,Symbol,Industry
CIVMEC LIMITED,P9D.SI,Industrials
CNA GROUP LTD.,5GC.SI,Industrials
COLEX HOLDINGS LIMITED ,567.SI,Industrials
COMFORTDELGRO CORPORATION LTD,C52.SI,Industrials
COMPACT METAL INDUSTRIES LTD,T4E.SI,Industrials
COSCO SHIPPING INTL,CSB.SG,Industrials
COURAGE INVESTMENT GRP LIMITED ,CIN.SI,Industrials
CSC HOLDINGS LTD,C06.SI,Industrials
DARCO WATER TECHNOLOGIES LTD,BLR.SI,Industrials
DESIGN STUDIO GROUP LTD. ,D11.SI,Industrials
DUTECH HOLDINGS LIMITED ,CZ4.SI,Industrials
ECOWISE HOLDINGS LIMITED ,5CT.SI,Industrials
EINDEC CORPORATION LIMITED ,42Z.SI,Industrials
ES GROUP (HOLDINGS),5RC.SI,Industrials
FAR EAST GROUP LIMITED ,5TJ.SI,Industrials
FEDERAL INT (2000),BDU.SI,Industrials
FIGTREE HOLDINGS LIMITED ,5F4.SI,Industrials
FRENCKEN GROUP LIMITED ,E28.SI,Industrials
FU YU CORPORATION LTD ,F13.SI,Industrials
FUJI OFFSET PLATES MFG LTD ,508.SI,Industrials
G. K. GOH HOLDINGS LIMITED ,G41.SI,Industrials
GALLANT VENTURE LTD. ,5IG.SI,Industrials
GDS GLOBAL LIMITED,5VP.SI,Industrials
GKE CORPORATION LIMITED ,595.SI,Industrials
GRAND BANKS YACHTS LIMITED,G50.SI,Industrials
GREEN BUILD TECHNOLOGY LIMITED ,Y06.SI,Industrials
GS HOLDINGS LIMITED ,43A.SI,Industrials
GUOAN INTERNATIONAL LIMITED ,G11.SI,Industrials
HAFARY HOLDINGS LIMITED ,5VS.SI,Industrials
HALCYON AGRI CORPORATION LTD,5VJ.SI,Industrials
HG METAL MANUFACTURING LTD,BTG.SI,Industrials
HIAP TONG CORPORATION LTD.,5PO.SI,Industrials
HOCK LIAN SENG HOLDINGS LTD,J2T.SI,Industrials
HOE LEONG CORPORATION LTD.,H20.SI,Industrials
HONG LEONG ASIA LTD. ,H22.SI,Industrials
HOR KEW CORPORATION LIMITED ,BBP.SI,Industrials
HRNETGROUP LIMITED ,CHZ.SI,Industrials
HU AN CABLE HOLDINGS LTD.,KI3.SI,Industrials
HUATIONG GLOBAL LIMITED ,41B.SI,Industrials
HUPSTEEL LTD,BMH.SI,Industrials
HUTCHISON PORT HLDGS TRUST S$,P7VU.SI,Industrials
HUTCHISON PORT HOLDINGS TRUST,NS8U.SI,Industrials
ICP LTD ,5I4.SI,Industrials
INNOTEK LIMITED,M14.SI,Industrials
INTRACO LIMITED,I06.SI,Industrials
ISDN HOLDINGS LIMITED ,I07.SI,Industrials
ISOTEAM LTD.,5WF.SI,Industrials
JARDINE MATHESON HLDGS LTD ,J36.SI,Industrials
JARDINE STRATEGIC HLDGS LTD ,J37.SI,Industrials
JASON MARINE GROUP LIMITED,5PF.SI,Industrials
JEP HOLDINGS LTD.,5FA.SI,Industrials
JUBILEE INDUSTRIES HLDGS LTD. ,5OS.SI,Industrials
KEONG HONG HOLDINGS LIMITED,5TT.SI,Industrials
KEPPEL CORPORATION LIMITED ,BN4.SI,Industrials
KEPPEL TELE & TRAN,K11.SI,Industrials
